"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,4.818,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,4.763,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2012","2012","PC","Percentage","0","Units",,,4.85,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2013","2013","PC","Percentage","0","Units",,,4.879,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2014","2014","PC","Percentage","0","Units",,,4.844,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2015","2015","PC","Percentage","0","Units",,,4.977,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2016","2016","PC","Percentage","0","Units",,,5.015,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2017","2017","PC","Percentage","0","Units",,,5.092,,
"HFTOT","All financing schemes","HC1HC2","Curative and rehabilitative care","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2018","2018","PC","Percentage","0","Units",,,5.089,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,5.733,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,5.738,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2012","2012","PC","Percentage","0","Units",,,5.587,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2013","2013","PC","Percentage","0","Units",,,5.478,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2014","2014","PC","Percentage","0","Units",,,5.3,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2015","2015","PC","Percentage","0","Units",,,5.192,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2016","2016","PC","Percentage","0","Units",,,5.109,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2017","2017","PC","Percentage","0","Units",,,5.009,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2018","2018","PC","Percentage","0","Units",,,4.849,,
"HFTOT","All financing schemes","HC5","Medical goods (non-specified by function)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,13.859,,
"HFTOT","All financing schemes","HC5","Medical goods (non-specified by function)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,13.7,,
