"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,31.011,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,31.233,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2012","2012","PC","Percentage","0","Units",,,31.145,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2013","2013","PC","Percentage","0","Units",,,30.906,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2014","2014","PC","Percentage","0","Units",,,30.507,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2015","2015","PC","Percentage","0","Units",,,30.442,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2016","2016","PC","Percentage","0","Units",,,30.593,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2017","2017","PC","Percentage","0","Units",,,30.768,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP3","Providers of ambulatory health care","PARCUR","Share of current expenditure on health","USA","United States","2018","2018","PC","Percentage","0","Units",,,30.713,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,4.818,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,4.763,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2012","2012","PC","Percentage","0","Units",,,4.85,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2013","2013","PC","Percentage","0","Units",,,4.879,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2014","2014","PC","Percentage","0","Units",,,4.844,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2015","2015","PC","Percentage","0","Units",,,4.977,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2016","2016","PC","Percentage","0","Units",,,5.015,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2017","2017","PC","Percentage","0","Units",,,5.092,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP0","Providers unknown","PARCUR","Share of current expenditure on health","USA","United States","2018","2018","PC","Percentage","0","Units",,,5.089,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,13.859,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,13.7,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2012","2012","PC","Percentage","0","Units",,,13.29,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2013","2013","PC","Percentage","0","Units",,,13.204,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2014","2014","PC","Percentage","0","Units",,,13.793,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2015","2015","PC","Percentage","0","Units",,,13.984,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2016","2016","PC","Percentage","0","Units",,,13.663,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2017","2017","PC","Percentage","0","Units",,,13.355,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP5","Retailers and other providers of medical goods","PARCUR","Share of current expenditure on health","USA","United States","2018","2018","PC","Percentage","0","Units",,,13.13,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,5.733,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,5.738,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2012","2012","PC","Percentage","0","Units",,,5.587,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2013","2013","PC","Percentage","0","Units",,,5.478,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2014","2014","PC","Percentage","0","Units",,,5.3,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2015","2015","PC","Percentage","0","Units",,,5.192,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2016","2016","PC","Percentage","0","Units",,,5.109,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2017","2017","PC","Percentage","0","Units",,,5.009,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP2","Residential long-term care facilities","PARCUR","Share of current expenditure on health","USA","United States","2018","2018","PC","Percentage","0","Units",,,4.849,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,33.556,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,33.625,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2012","2012","PC","Percentage","0","Units",,,34.216,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2013","2013","PC","Percentage","0","Units",,,34.461,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2014","2014","PC","Percentage","0","Units",,,34.018,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2015","2015","PC","Percentage","0","Units",,,33.972,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2016","2016","PC","Percentage","0","Units",,,34.147,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2017","2017","PC","Percentage","0","Units",,,34.365,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP1","Hospitals","PARCUR","Share of current expenditure on health","USA","United States","2018","2018","PC","Percentage","0","Units",,,34.297,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARCUR","Share of current expenditure on health","USA","United States","2010","2010","PC","Percentage","0","Units",,,3.171,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARCUR","Share of current expenditure on health","USA","United States","2011","2011","PC","Percentage","0","Units",,,3.012,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARCUR","Share of current expenditure on health","USA","United States","2012","2012","PC","Percentage","0","Units",,,2.992,,
